3DP DT,# Needed,# to Purchase,Price /unit,Price Total,Source,,Alt,,,
,,,,,,,,,,
,,,,,,,,,,
"*ALL PRICES ROUNDED UP, BUT SHIPPING NOT FACTORED",,,,,,,,,,
,,,,,,,,,,
To Buy,,,,,,,,TOTAL ESTIMATED USD,$114.00,Amazon:
Filament 2kg,1,1,26,26,,,,Subtotal USD,$0.00,Gobilda
Timing belts - HTD 3 100T,4,4,7,28,,,,TOTAL w/ 7% TAX USD,$121.98,
Bearings - 14mm OD 8mm ID Flanged 2pc,2,2,4,8,,,,Remaining USD,$114.00,
Shafts - 72mm REX,4,4,5,20,,,,,,
REX Sonic Hubs,4,4,8,32,,,,,,
,,,,0,,,,,,
,,,,0,,,,,,
,,,,,,,,,,
Alredy Owned,,,,,,,,,,
Hubs,2,N/A,N/A,,,,,,,
Battery,1,N/A,N/A,,,,,,,
Odo Pods,2,N/A,N/A,,,,,,,
Motors,4,N/A,N/A,,,,,,,
Wiring,Lots,N/A,N/A,,,,,,,
Wheels,4,N/A,N/A,,,,,,,
M4 Screws,Lots,N/A,N/A,,,,,,,
,,N/A,N/A,,,,,,,
,,N/A,N/A,,,,,,,
,,N/A,N/A,,,,,,,
,,N/A,N/A,,,,,,,
,,N/A,N/A,,,,,,,
,,N/A,N/A,,,,,,,
